会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ヤオコー,8279,小売業,プライム（内国株式）,2025-03-31,,Kawagoe,392671592448.0,2.118812,736400000000.0,33411000000.0,0.05454,20176000000.0,0.026819998,0.11334,0.4813905147711626,17.892393,190277000000.0,90311000000.0,92983000000.0,80848000000.0,50226000000.0,909000000.0,-30622000000.0,-0.07798374160222744
ゼビオホールディングス,8281,小売業,プライム（内国株式）,2025-03-31,,Koriyama,49989545984.0,0.41314358,250603000000.0,7006000000.0,0.042919997,971000000.0,-0.00611,-0.01237,0.5967768031810314,10.587204,81830000000.0,66568000000.0,130727000000.0,7366000000.0,19855000000.0,2733000000.0,12489000000.0,0.24983223500364088
ケーズホールディングス,8282,小売業,プライム（内国株式）,2025-03-31,,Mito,256311984128.0,1.0438973,738019000000.0,21786000000.0,0.02957,9525000000.0,0.01512,0.04389,0.5944326940820759,16.609156,171424000000.0,148565000000.0,224686000000.0,66908000000.0,15833000000.0,1044000000.0,-51075000000.0,-0.19926887216671688
ＰＡＬＴＡＣ,8283,卸売業,プライム（内国株式）,2025-03-31,,Osaka,291533225984.0,1.0007571,1188097000000.0,28009000000.0,0.0241,22864000000.0,0.019170001,,0.567334847982834,,219382000000.0,209028000000.0,365735000000.0,349000000.0,69916000000.0,25600000000.0,69567000000.0,0.23862460193068352
三谷産業,8285,卸売業,スタンダード（内国株式）,2025-03-31,,Kanazawa,27952969728.0,0.55970883,103072000000.0,2080000000.0,0.0145000005,2440000000.0,0.025840001,0.056950003,0.5067382561820827,,45926000000.0,36786000000.0,46060000000.0,17733000000.0,8445000000.0,27440000000.0,-9288000000.0,-0.3322723878850115
Ｏｌｙｍｐｉｃグループ,8289,小売業,スタンダード（内国株式）,2025-02-28,,Kokubunji,9440897024.0,0.38728717,98637000000.0,51000000.0,-0.00634,-67000000.0,-0.00403,-0.01596,0.3607561349913228,,44570000000.0,28206000000.0,19660000000.0,31832000000.0,4177000000.0,655000000.0,-27655000000.0,-2.929276733947776
日産東京販売ホールディングス,8291,小売業,スタンダード（内国株式）,2025-03-31,,Tokyo,30377834496.0,0.531797,141605000000.0,7412000000.0,0.02693,4312000000.0,0.02964,0.07216,0.5834612334030346,,40438000000.0,26708000000.0,36305000000.0,13177000000.0,16741000000.0,6216000000.0,3564000000.0,0.1173223851907314
あおぞら銀行,8304,銀行業,プライム（内国株式）,2025-03-31,,Tokyo,330800005120.0,0.719822,108414000000.0,,0.23868,20518000000.0,0.16764,0.043319996,0.0581541820516606,12.868755,7302749000000.0,,,855940000000.0,1409371000000.0,1411549000000.0,553431000000.0,1.673007833839782
三菱ＵＦＪフィナンシャル・グループ,8306,銀行業,プライム（内国株式）,2025-03-31,,Tokyo,27250172887040.0,1.3660034,6838439000000.0,,0.38261002,1862946000000.0,0.23105,0.05943,0.04967251118718582,15.786525,391385370000000.0,,,23940159000000.0,109095437000000.0,92745772000000.0,85155278000000.0,3.124944504131909
りそなホールディングス,8308,銀行業,プライム（内国株式）,2025-03-31,,Tokyo,3563805212672.0,1.2806996,879798000000.0,,0.39117,213324000000.0,0.22516,0.08276,0.03527534206179239,17.794685,74618002000000.0,,,6809185000000.0,19548812000000.0,10908357000000.0,12739627000000.0,3.5747259571598002
三井住友トラストグループ,8309,銀行業,プライム（内国株式）,2025-03-31,,Tokyo,3077956173824.0,0.99164766,1514183000000.0,,0.24079001,257635000000.0,0.18381001,0.09038,0.03957878209981502,11.785454,75119789000000.0,,,19426420000000.0,25173611000000.0,12418487000000.0,5747191000000.0,1.8672101470696993
