会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
アステラス製薬,4503,医薬品,プライム（内国株式）,2025-03-31,,Chuo,2943269732352.0,1.9861836,1912323000000.0,40248000000.0,0.2057,50747000000.0,0.041939996,0.05165,0.4531322240401683,21.697243,1826289000000.0,1061610000000.0,1201349000000.0,831426000000.0,188372000000.0,106195000000.0,-643054000000.0,-0.2184828637795722
住友ファーマ,4506,医薬品,プライム（内国株式）,2025-03-31,,Osaka,632882724864.0,3.59117,398832000000.0,29709000000.0,0.19479,23634000000.0,0.04542,0.11214,0.2282225789249721,92.99475,573125000000.0,240603000000.0,253168000000.0,305422000000.0,23116000000.0,44148000000.0,-282306000000.0,-0.4460636843273999
塩野義製薬,4507,医薬品,プライム（内国株式）,2025-03-31,,Osaka,2245918457856.0,1.6293371,438268000000.0,156604000000.0,0.35175,170435000000.0,0.40662998,0.13377,0.8870452255480675,13.804916,172853000000.0,129392000000.0,858504000000.0,21882000000.0,374795000000.0,299799000000.0,352913000000.0,0.1571352685426068
わかもと製薬,4512,医薬品,スタンダード（内国株式）,2025-03-31,,Tokyo,10273056768.0,0.8509806,7789461000.0,-457797000.0,-0.05827,64440000.0,-0.023540001,-0.0183,0.7738835699605985,,3392359000.0,2034774000.0,8908257000.0,128560000.0,2954759000.0,2139448000.0,2826199000.0,0.2751078927942316
日本新薬,4516,医薬品,プライム（内国株式）,2025-03-31,,Kyoto,226863906816.0,0.9019681,160232000000.0,35451000000.0,0.25494,32558000000.0,0.19016,0.12746,0.8709265716391021,8.200395,36298000000.0,30316000000.0,149740000000.0,2722000000.0,55241000000.0,39492000000.0,52519000000.0,0.2315000245614037
中外製薬,4519,医薬品,プライム（内国株式）,2024-12-31,,Chuo,10344891154432.0,5.2112,1170611000000.0,542002000000.0,0.47134,387317000000.0,0.33058,0.21165001,0.8610406847031729,26.645754,306874000000.0,290357000000.0,1606043000000.0,,540202000000.0,,,
科研製薬,4521,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,146943836160.0,0.9912699,94035000000.0,21038000000.0,0.00085,13945000000.0,0.13167,0.08596,0.801556542836437,40.041492,37788000000.0,30354000000.0,111377000000.0,3850000000.0,54093000000.0,18875000000.0,50243000000.0,0.3419197518791658
エーザイ,4523,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,1439073173504.0,1.7355417,789400000000.0,54377000000.0,0.103319995,46433000000.0,0.06267,0.058520004,0.6068434751941333,25.181417,520579000000.0,372294000000.0,727659000000.0,187523000000.0,265561000000.0,64740000000.0,78038000000.0,0.0542279582698253
森下仁丹,4524,医薬品,スタンダード（内国株式）,2025-03-31,,Osaka,9306888192.0,0.77706444,12766000000.0,809000000.0,0.058330003,547000000.0,0.03663,0.03808,0.679034421099687,,5744000000.0,2836000000.0,8187000000.0,1421000000.0,1940000000.0,3856000000.0,519000000.0,0.0557651482743846
理研ビタミン,4526,食料品,プライム（内国株式）,2025-03-31,,Tokyo,89195225088.0,1.1346002,95582000000.0,8725000000.0,0.101730004,9388000000.0,0.09288,0.11247,0.7005460225311728,10.61354,33799000000.0,21129000000.0,65699000000.0,9914000000.0,22298000000.0,15078000000.0,12384000000.0,0.1388415129597122
ロート製薬,4527,医薬品,プライム（内国株式）,2025-03-31,,Osaka,576887062528.0,2.16274,308625000000.0,38943000000.0,0.14185001,31006000000.0,0.10642,0.12753001,0.6165167407407407,15.2782755,150437000000.0,94608000000.0,217879000000.0,50223000000.0,77161000000.0,46427000000.0,26938000000.0,0.0466954482944268
小野薬品工業,4528,医薬品,プライム（内国株式）,2025-03-31,,Osaka,809418817536.0,1.0476043,486871000000.0,59748000000.0,0.17246,50047000000.0,0.08642,,0.7353544865541527,10.186226,275844000000.0,148296000000.0,455104000000.0,146678000000.0,204567000000.0,96502000000.0,57889000000.0,0.0715192169317527
久光製薬,4530,医薬品,プライム（内国株式）,2025-02-28,,Tosu,296008908800.0,1.124657,156006000000.0,18896000000.0,0.0971,21758000000.0,0.0,,0.8069012557277274,18.949045,63665000000.0,47226000000.0,203788000000.0,3856000000.0,114518000000.0,60222000000.0,110662000000.0,0.3738468563281295
有機合成薬品工業,4531,化学,スタンダード（内国株式）,2025-03-31,,Tokyo,6161268224.0,0.47285154,15128000000.0,1220000000.0,0.03429,896000000.0,0.04464,0.05519,0.487700494957389,,13766000000.0,7928000000.0,12506000000.0,8438000000.0,973000000.0,2047000000.0,-7465000000.0,-1.211601204265312
持田製薬,4534,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,116986544128.0,0.8919987,105159000000.0,8126000000.0,0.09661999,5685000000.0,0.0,0.046609998,0.8162139881714453,17.628206,29428000000.0,24902000000.0,119669000000.0,,45154000000.0,15022000000.0,,
参天製薬,4536,医薬品,プライム（内国株式）,2025-03-31,,Osaka,535645257728.0,1.9558282,300004000000.0,46880000000.0,0.11017,36256000000.0,0.107159995,0.10615,0.6993845244174484,15.131883,124096000000.0,86837000000.0,224300000000.0,,92997000000.0,16177000000.0,,
扶桑薬品工業,4538,医薬品,プライム（内国株式）,2025-03-31,,Osaka,18719197184.0,0.5641852,60562000000.0,4131000000.0,0.038510002,-3288000000.0,0.042480003,,0.4042995754261033,,48686000000.0,44131000000.0,48342000000.0,21289000000.0,6264000000.0,4375000000.0,-15025000000.0,-0.8026519434734323
日本ケミファ,4539,医薬品,スタンダード（内国株式）,2025-03-31,,Tokyo,6028904448.0,0.3186979,32570000000.0,607000000.0,0.028250001,294000000.0,0.01203,0.02118,0.3844857675874105,,30684000000.0,12261000000.0,30066000000.0,18061000000.0,7021000000.0,1923000000.0,-11040000000.0,-1.8311784662074644
ツムラ,4540,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,276562542592.0,0.95694447,181093000000.0,40125000000.0,0.17914,32428000000.0,0.14191,0.08796,0.6471596537318576,8.863881,134270000000.0,61913000000.0,295709000000.0,70336000000.0,73227000000.0,10276000000.0,2891000000.0,0.0104533317234682
テルモ,4543,精密機器,プライム（内国株式）,2025-03-31,,Tokyo,3610192379904.0,2.6367843,1036171000000.0,157670000000.0,0.21497999,116978000000.0,0.12036,0.08963,0.7484906144357367,24.035156,459858000000.0,240965000000.0,723496000000.0,174838000000.0,221872000000.0,40925000000.0,47034000000.0,0.0130281145851985
Ｈ．Ｕ．グループホールディングス,4544,サービス業,プライム（内国株式）,2025-03-31,,Tokyo,199548420096.0,1.5133841,243025000000.0,2641000000.0,0.0141900005,2761000000.0,0.00567,0.00964,0.490417838058244,34.39428,142290000000.0,69438000000.0,119143000000.0,86652000000.0,40885000000.0,1801000000.0,-45767000000.0,-0.2293528557028019
キッセイ薬品工業,4547,医薬品,プライム（内国株式）,2025-03-31,,Matsumoto,184182308864.0,0.88940006,88330000000.0,5774000000.0,0.09503999,11961000000.0,0.13848,0.057740003,0.8563626008465166,20.18436,33934000000.0,16578000000.0,106980000000.0,1280000000.0,25169000000.0,84869000000.0,23889000000.0,0.1297030108230406
生化学工業,4548,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,37494837248.0,0.5234585,39374000000.0,1336000000.0,-0.041810002,1214000000.0,-0.02329,-0.01212,0.8725796451735979,13.878788,10687000000.0,7899000000.0,39631000000.0,380000000.0,15132000000.0,19038000000.0,14752000000.0,0.3934408329985985
栄研化学,4549,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,81705033728.0,1.9402469,40539000000.0,3000000000.0,0.07855,2228000000.0,0.05682,0.05361,0.6989674854101199,27.111597,18776000000.0,14376000000.0,31532000000.0,4466000000.0,9873000000.0,3408000000.0,5407000000.0,0.0661770732266039
ＪＣＲファーマ,4552,医薬品,プライム（内国株式）,2025-03-31,,Ashiya,78096433152.0,1.6885217,33072000000.0,-6651000000.0,-0.07515,-4759000000.0,-0.16438,-0.10696,0.4486195221973201,17.504097,57420000000.0,43988000000.0,51056000000.0,38105000000.0,13196000000.0,9629000000.0,-24909000000.0,-0.3189518265388551
東和薬品,4553,医薬品,プライム（内国株式）,2025-03-31,,Osaka,147681280000.0,0.85503286,259594000000.0,23243000000.0,0.07992,18986000000.0,0.0,,0.3645191505087899,10.177772,299199000000.0,87939000000.0,247306000000.0,230983000000.0,45471000000.0,871000000.0,-185512000000.0,-1.256164626958813
富士製薬工業,4554,医薬品,プライム（内国株式）,2024-09-30,,Tokyo,38291832832.0,0.84377694,46138000000.0,3883000000.0,0.08251,6146000000.0,0.0614,0.06777,0.5062,10.1221075,44439000000.0,35797000000.0,42468000000.0,29254000000.0,4585000000.0,7092000000.0,-24669000000.0,-0.6442365950000813
カイノス,4556,医薬品,スタンダード（内国株式）,2025-03-31,,Tokyo,5417123328.0,2.1320512,5305568000.0,823610000.0,0.05132,641019000.0,0.01865,0.03111,0.7712084173008433,,2009967000.0,1456639000.0,5820525000.0,629491000.0,3396322000.0,261536000.0,2766831000.0,0.5107565090310604
中京医薬品,4558,医薬品,スタンダード（内国株式）,2025-03-31,,Handa,2302448128.0,0.9218793,6306646000.0,106037000.0,0.10049,45148000.0,0.00477,0.01344,0.4987126015793087,,2539148000.0,1750805000.0,2924966000.0,1307467000.0,1235465000.0,175765000.0,-72002000.0,-0.031271931438709
ゼリア新薬工業,4559,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,92699156480.0,1.0601941,87311137000.0,12197586000.0,0.077989995,9936323000.0,0.079840004,0.07967,0.5625365281881072,10.076665,69374569000.0,54449062000.0,69529694000.0,41164159000.0,23592676000.0,8865571000.0,-17571483000.0,-0.1895538607602225
アンジェス,4563,医薬品,グロース（内国株式）,2024-12-31,,Ibaraki,30075648000.0,8.72949,643638000.0,-9109445000.0,-4.67755,-28128983000.0,0.0,-1.98033,0.4619351544221296,,2512009000.0,2313283000.0,3542608000.0,272448000.0,1707756000.0,441804000.0,1435308000.0,0.0477232610249993
オンコセラピー・サイエンス,4564,医薬品,グロース（内国株式）,2025-03-31,,Kawasaki,7218733056.0,7.328072,750048000.0,-797936000.0,-1.5124401,-815285000.0,-0.9718,-0.91990995,0.6311548706158139,-1.2745098,426091000.0,327738000.0,1105697000.0,,833883000.0,,,
ネクセラファーマ,4565,医薬品,プライム（内国株式）,2024-12-31,,Minato,89227845632.0,1.3547901,28835000000.0,-5423000000.0,-0.06663,-4838000000.0,-0.10484,-0.04853,0.4522699969636563,21.9942,82980000000.0,15632000000.0,57855000000.0,67900000000.0,32268000000.0,4518000000.0,-35632000000.0,-0.3993372220030515
第一三共,4568,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,6234364706816.0,3.9245255,1886256000000.0,331925000000.0,0.20378,295756000000.0,0.15373,0.17934999,0.4697222520405113,23.314295,1832703000000.0,754032000000.0,1909433000000.0,101332000000.0,639838000000.0,139175000000.0,538506000000.0,0.0863770448673389
杏林製薬,4569,医薬品,プライム（内国株式）,2025-03-31,,Tokyo,87724392448.0,0.6443073,130087000000.0,12568000000.0,0.0783,9086000000.0,0.078099996,0.07739,0.7038808375254367,14.542857,57334000000.0,35111000000.0,136134000000.0,28439000000.0,15021000000.0,20042000000.0,-13418000000.0,-0.1529563172290275
